date,open,high,low,close,volume
2024-05-29,68.76,70.21,67.33,68.64,37804494
2024-05-30,68.97,70.37,67.58,68.93,38068098
2024-05-31,69.16,70.53,67.78,69.2,38375234
2024-06-03,69.32,70.7,67.92,69.46,38721167
2024-06-04,69.45,70.84,68.05,69.7,39100715
2024-06-05,69.57,70.95,68.18,69.91,39508326
2024-06-06,69.68,71.04,68.3,70.11,39938144
2024-06-07,69.77,71.1,68.42,70.29,40384091
2024-06-10,69.85,71.35,68.55,70.44,40839944
2024-06-11,69.93,71.59,68.68,70.58,41299419
2024-06-12,70.01,71.81,68.82,70.69,41756250
2024-06-13,70.1,72.0,68.97,70.78,42204268
2024-06-14,70.18,72.17,69.14,70.85,42637485
2024-06-17,70.27,72.29,69.31,70.91,43050169
2024-06-18,70.37,72.39,69.49,70.95,43436913
2024-06-19,70.47,72.46,69.67,70.98,43792709
2024-06-20,70.58,72.49,69.69,70.99,44113009
2024-06-21,70.69,72.49,69.71,71.0,44393780
2024-06-24,70.8,72.47,69.75,70.99,44631559
2024-06-25,70.91,72.42,69.79,70.98,44823490
2024-06-26,71.02,72.41,69.78,70.97,44967364
2024-06-27,71.13,72.44,69.7,70.96,45061642
2024-06-28,71.23,72.46,69.64,70.95,45105473
2024-07-01,71.32,72.45,69.6,70.94,45098704
2024-07-02,71.4,72.42,69.57,70.95,45041879
2024-07-03,71.47,72.38,69.56,70.96,44936227
2024-07-04,71.53,72.33,69.58,70.98,44783651
2024-07-05,71.57,72.5,69.62,71.01,44586690
2024-07-08,71.61,72.64,69.69,71.06,44348496
2024-07-09,71.64,72.78,69.78,71.13,44072779
2024-07-10,71.65,72.89,69.91,71.21,43763766
2024-07-11,71.67,72.99,70.06,71.31,43426139
2024-07-12,71.69,73.08,70.24,71.43,43064975
2024-07-15,71.71,73.15,70.45,71.57,42685674
2024-07-16,71.73,73.22,70.69,71.73,42293891
2024-07-17,71.78,73.41,70.81,71.91,41895459
2024-07-18,71.84,73.6,70.95,72.11,41496309
2024-07-19,71.92,73.8,71.11,72.32,41102395
2024-07-22,72.02,73.99,71.13,72.56,40719611
2024-07-23,72.16,74.18,71.18,72.8,40353713
2024-07-24,72.33,74.37,71.27,73.07,40010243
2024-07-25,72.53,74.56,71.4,73.34,39694454
2024-07-26,72.76,74.74,71.56,73.63,39411239
2024-07-29,73.03,74.93,71.77,73.92,39165063
2024-07-30,73.33,75.11,72.02,74.22,38959907
2024-07-31,73.66,75.35,72.31,74.53,38799208
2024-08-01,74.02,75.77,72.64,74.83,38685813
2024-08-02,74.39,76.19,73.0,75.14,38621943
2024-08-05,74.79,76.6,73.39,75.44,38609153
2024-08-06,75.2,76.99,73.81,75.74,38648314
2024-08-07,75.61,77.36,74.24,76.03,38739596
2024-08-08,76.02,77.72,74.68,76.31,38882464
2024-08-09,76.42,78.04,75.12,76.59,39075677
2024-08-12,76.81,78.33,75.56,76.85,39317304
2024-08-13,77.18,78.68,75.91,77.1,39604744
2024-08-14,77.52,79.01,76.21,77.33,39934756
2024-08-15,77.83,79.3,76.5,77.55,40303495
2024-08-16,78.1,79.53,76.79,77.75,40706563
2024-08-19,78.34,79.7,77.06,77.94,41139057
2024-08-20,78.54,79.83,77.3,78.11,41595632
2024-08-21,78.69,79.89,77.37,78.26,42070567
2024-08-22,78.81,79.91,77.43,78.4,42557834
2024-08-23,78.89,79.88,77.47,78.53,43051177
2024-08-26,78.94,79.81,77.51,78.64,43544186
2024-08-27,78.96,79.8,77.54,78.74,44030383
2024-08-28,78.95,79.91,77.57,78.83,44503300
2024-08-29,78.92,79.99,77.6,78.91,44956563
2024-08-30,78.88,80.16,77.54,78.99,45383975
2024-09-02,78.84,80.32,77.46,79.06,45779594
2024-09-03,78.8,80.47,77.4,79.12,46137813
2024-09-04,78.76,80.6,77.36,79.19,46453430
2024-09-05,78.74,80.72,77.35,79.26,46721719
2024-09-06,78.74,80.82,77.37,79.33,46938495
2024-09-09,78.76,80.91,77.42,79.41,47100164
